LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
AUT;WAGEGAP;TOT;PC_MENWAGE;A;2013;18.05321141;
AUT;WAGEGAP;TOT;PC_MENWAGE;A;2014;17.72888425;
AUT;WAGEGAP;TOT;PC_MENWAGE;A;2015;17.04325299;
AUT;WAGEGAP;TOT;PC_MENWAGE;A;2016;15.67089964;
BEL;WAGEGAP;TOT;PC_MENWAGE;A;2013;5.912863071;
BEL;WAGEGAP;TOT;PC_MENWAGE;A;2014;3.298900367;
BEL;WAGEGAP;TOT;PC_MENWAGE;A;2015;4.672;
CZE;WAGEGAP;TOT;PC_MENWAGE;A;2013;15.37883532;
CZE;WAGEGAP;TOT;PC_MENWAGE;A;2014;16.2545602;
CZE;WAGEGAP;TOT;PC_MENWAGE;A;2015;16.45515416;
CZE;WAGEGAP;TOT;PC_MENWAGE;A;2016;16.02343084;
CZE;WAGEGAP;TOT;PC_MENWAGE;A;2017;15.61401089;
DNK;WAGEGAP;TOT;PC_MENWAGE;A;2013;6.768911945;
DNK;WAGEGAP;TOT;PC_MENWAGE;A;2014;6.323865695;
DNK;WAGEGAP;TOT;PC_MENWAGE;A;2015;5.836048113;
DNK;WAGEGAP;TOT;PC_MENWAGE;A;2016;5.732628038;
FIN;WAGEGAP;TOT;PC_MENWAGE;A;2013;20.17843271;
FIN;WAGEGAP;TOT;PC_MENWAGE;A;2014;19.60907945;
FIN;WAGEGAP;TOT;PC_MENWAGE;A;2015;18.05598132;
FIN;WAGEGAP;TOT;PC_MENWAGE;A;2016;16.47225837;
FRA;WAGEGAP;TOT;PC_MENWAGE;A;2014;9.872102318;
DEU;WAGEGAP;TOT;PC_MENWAGE;A;2013;14.06593407;
DEU;WAGEGAP;TOT;PC_MENWAGE;A;2014;17.44791667;
DEU;WAGEGAP;TOT;PC_MENWAGE;A;2015;15.81632653;
DEU;WAGEGAP;TOT;PC_MENWAGE;A;2016;15.51071879;
GRC;WAGEGAP;TOT;PC_MENWAGE;A;2013;11.2737313;
GRC;WAGEGAP;TOT;PC_MENWAGE;A;2014;9.090909091;
GRC;WAGEGAP;TOT;PC_MENWAGE;A;2015;6.25;
GRC;WAGEGAP;TOT;PC_MENWAGE;A;2016;4.485049834;
HUN;WAGEGAP;TOT;PC_MENWAGE;A;2013;8.723650635;
HUN;WAGEGAP;TOT;PC_MENWAGE;A;2014;3.772605527;
HUN;WAGEGAP;TOT;PC_MENWAGE;A;2015;9.523809524;
HUN;WAGEGAP;TOT;PC_MENWAGE;A;2016;9.364317181;
IRL;WAGEGAP;TOT;PC_MENWAGE;A;2013;12.7698278;
IRL;WAGEGAP;TOT;PC_MENWAGE;A;2014;15.17342812;
IRL;WAGEGAP;TOT;PC_MENWAGE;A;2015;14.44894073;
IRL;WAGEGAP;TOT;PC_MENWAGE;A;2016;10.61173533;
ITA;WAGEGAP;TOT;PC_MENWAGE;A;2014;5.555555553;
ITA;WAGEGAP;TOT;PC_MENWAGE;A;2016;5.555555553;
LUX;WAGEGAP;TOT;PC_MENWAGE;A;2014;3.402916786;
NLD;WAGEGAP;TOT;PC_MENWAGE;A;2014;14.11468179;
POL;WAGEGAP;TOT;PC_MENWAGE;A;2014;11.07286288;
POL;WAGEGAP;TOT;PC_MENWAGE;A;2016;9.417880936;
PRT;WAGEGAP;TOT;PC_MENWAGE;A;2013;16.66666667;
PRT;WAGEGAP;TOT;PC_MENWAGE;A;2014;18.87969014;
PRT;WAGEGAP;TOT;PC_MENWAGE;A;2015;18.9170164;
PRT;WAGEGAP;TOT;PC_MENWAGE;A;2016;14.28571429;
SVK;WAGEGAP;TOT;PC_MENWAGE;A;2013;14.10932976;
SVK;WAGEGAP;TOT;PC_MENWAGE;A;2014;14.35004753;
SVK;WAGEGAP;TOT;PC_MENWAGE;A;2015;13.37662489;
SVK;WAGEGAP;TOT;PC_MENWAGE;A;2016;13.89918214;
SVK;WAGEGAP;TOT;PC_MENWAGE;A;2017;15.04004233;
ESP;WAGEGAP;TOT;PC_MENWAGE;A;2014;11.54049762;
SWE;WAGEGAP;TOT;PC_MENWAGE;A;2013;13.42049093;
GBR;WAGEGAP;TOT;PC_MENWAGE;A;2013;17.48201439;
GBR;WAGEGAP;TOT;PC_MENWAGE;A;2014;17.38274257;
GBR;WAGEGAP;TOT;PC_MENWAGE;A;2015;17.10155148;
GBR;WAGEGAP;TOT;PC_MENWAGE;A;2016;16.83973693;
EST;WAGEGAP;TOT;PC_MENWAGE;A;2014;28.33935018;
SVN;WAGEGAP;TOT;PC_MENWAGE;A;2014;4.996271439;
LVA;WAGEGAP;TOT;PC_MENWAGE;A;2014;21.12299465;
LTU;WAGEGAP;TOT;PC_MENWAGE;A;2014;12.47974068;
OECD;WAGEGAP;TOT;PC_MENWAGE;A;2013;14.28343624;
OECD;WAGEGAP;TOT;PC_MENWAGE;A;2014;14.23514297;
OECD;WAGEGAP;TOT;PC_MENWAGE;A;2015;14.25544397;
OECD;WAGEGAP;TOT;PC_MENWAGE;A;2016;13.8922071;
BGR;WAGEGAP;TOT;PC_MENWAGE;A;2014;4.0625;
CYP;WAGEGAP;TOT;PC_MENWAGE;A;2014;13.40923466;
MLT;WAGEGAP;TOT;PC_MENWAGE;A;2014;8.989460632;
ROU;WAGEGAP;TOT;PC_MENWAGE;A;2014;1.546391753;
